network_Gin_1,network_Gin_2,network_Gin_3,network_cAMP_1,network_cAMP_2,network_cAMP_3,network_Ca_1,network_Ca_2,network_Ca_3,network_S_1,network_S_2,network_S_3,network_I_1,network_I_2,network_I_3,meta_network_Gin_1,meta_network_Gin_2,meta_network_Gin_3,meta_network_cAMP_1,meta_network_cAMP_2,meta_network_cAMP_3,meta_network_Ca_1,meta_network_Ca_2,meta_network_Ca_3,meta_network_S_1,meta_network_S_2,meta_network_S_3,meta_network_I_1,meta_network_I_2,meta_network_I_3
2.5555,2e-12,1.41421356237309e-06,0.0013,1e-12,1e-06,0.000100000000000007,1e-12,1e-06,34,0.0001,0.01,25,0.0001,0.01,2.55549889014474,0.000599999970703126,0.0244948968298118,0.00130000000001585,9.99999999999992e-13,9.99999999999996e-07,0.000100000000274918,9.9999999999775e-13,9.99999999998875e-07,34.0000000000401,0.0001,0.01,25,0.0001,0.01
2.5555,2e-12,1.41421356237309e-06,0.00119566666666667,1.11111123912222e-12,1.05409261411046e-06,0.000100000000000016,1.25147928994096e-12,1.11869535171152e-06,33.9999999999995,0.115699999999991,0.340147027033885,25,0.000138516435986159,0.0117693005733629,2.57592570131848,0.000849994889862265,0.0291546718359556,0.00102900000002107,1.11111123912226e-12,1.05409261411048e-06,0.000100000000413475,1.25147928993547e-12,1.11869535170906e-06,34.0000000935004,0.115699999999698,0.340147027033456,25.0000000000147,0.000138516435986159,0.0117693005733629
2.5555,2e-12,1.41421356237309e-06,0.00116232863888889,1.12345695649686e-12,1.05993252450185e-06,9.5987179487212e-05,1.31500657481158e-12,1.14673736086847e-06,33.9999999996171,0.144771005916772,0.380487852521959,24.9999999999993,0.0157731455449809,0.125591184184961,2.59775964050338,0.00109998474630528,0.0331660179446565,0.000940106297787411,5.40760635868152e-12,2.32542605960317e-06,8.95769235598978e-05,1.31500657480907e-12,1.14673736086737e-06,34.0000001411481,0.144771005918793,0.380487852524615,25.0000000344033,0.0157731455449384,0.125591184184792
2.5555,2e-12,1.41421356237309e-06,0.00115193583796296,1.12482871460558e-12,1.06057942399689e-06,9.26985373931934e-05,1.33104363029107e-12,1.15370864185507e-06,32.6356410254444,0.152114760048333,0.390018922679828,24.9999999603679,0.0314236667276269,0.177267218423562,2.61974649786895,0.00134951677184781,0.0367357696509521,0.00091292093836458,1.31441804138768e-11,3.62549036874694e-06,8.09463964252182e-05,1.33738112949457e-12,1.15645195727906e-06,30.4561540087433,0.15211476004223,0.390018922672004,25.0000000653359,0.0314236667273754,0.177267218422853
2.5555,2e-12,1.41421356237309e-06,0.00114883150848766,1.1249811360565e-12,1.0606512791943e-06,9.06544932336577e-05,1.33508383960085e-12,1.15545828120311e-06,31.5175027142729,0.153968643661704,0.392388383698732,24.4983974666122,0.0402544224370341,0.200635047878067,2.64504331153634,0.00159825191197128,0.0399781429279961,0.000906927051104479,2.37916543663767e-11,4.87766894800956e-06,7.55855419441014e-05,1.36237016689555e-12,1.16720613727634e-06,27.5217747528445,0.154701258566646,0.393320808712996,23.6971154805694,0.0402544224366951,0.200635047877222
2.5555,2e-12,1.41421356237309e-06,0.00114797670074589,1.1249980729024e-12,1.06065926333691e-06,8.95130738663692e-05,1.33609961319256e-12,1.15589775204927e-06,30.8225276993917,0.154435691857734,0.392983068156548,23.8365156346109,0.0441937994499514,0.2102232133946,2.67592538393102,0.00184593932781399,0.042964396048519,0.000908321029601213,3.66574303395138e-11,6.0545379955463e-06,7.26745820135072e-05,1.40152277247604e-12,1.18385927055374e-06,25.6990844509816,0.157589991365448,0.396976058932334,21.9668572964308,0.0442928228765801,0.210458601336653
2.5555,2e-12,1.41421356237309e-06,0.00114778174920696,1.12499995508284e-12,1.06066015060567e-06,8.89094869618726e-05,1.33635457277257e-12,1.15600803317822e-06,30.4344451144792,0.154553115285133,0.393132439878895,23.2500695402774,0.0457383612725231,0.213865287675497,2.71412602209856,0.00209236600569322,0.0457423874070125,0.000912619136993554,5.09328755644035e-11,7.13672723062915e-06,7.12727135311438e-05,1.45645722034812e-12,1.20683769428541e-06,24.7093574764523,0.162116032194248,0.402636352300991,20.431621387912,0.0463627565586966,0.215320125763238
2.5555,2e-12,1.41421356237309e-06,0.00114776175754815,1.12500016429556e-12,1.06066024922949e-06,8.86001953735225e-05,1.33641848899322e-12,1.15603567807971e-06,30.2292255670893,0.154582588612519,0.393169923331527,22.8141689683935,0.0462963409438928,0.215165845207581,2.76111388348237,0.00233732521774758,0.0483458914257208,0.000918578211458931,6.59944483207417e-11,8.12369671521172e-06,7.07370924369102e-05,1.52480861631359e-12,1.23483141210191e-06,24.2327224529292,0.168466454497004,0.410446652437323,19.3001332543303,0.0481868599227068,0.219515056255162
2.5555,2e-12,1.41421356237309e-06,0.00114777758975563,1.12500018756255e-12,1.06066026019765e-06,8.84447806693897e-05,1.33643449821004e-12,1.15604260224701e-06,30.1240664268106,0.15458997732768,0.393179319557476,22.5207703861189,0.0464868054767637,0.215607990289701,2.81827994825957,0.00258063865766467,0.0507999867880364,0.000926055583735579,8.14470020811159e-11,9.02479928204034e-06,7.06984803143286e-05,1.60295173144986e-12,1.26607730074031e-06,24.0506121098476,0.176367877195325,0.419961756824744,18.5591559818664,0.0505602312087273,0.22485602328763
2.5555,2e-12,1.41421356237309e-06,0.001147794115205,1.12500019015317e-12,1.06066026141888e-06,8.83676822483566e-05,1.33643850562698e-12,1.15604433549366e-06,30.0712254275359,0.154591827993071,0.393181673012707,22.3354094171021,0.0465491710526933,0.21575256905236,2.88695322968244,0.00282213488027113,0.0531237694471235,0.000935264382202208,9.7061774657084e-11,9.85199343570041e-06,7.09667775748106e-05,1.68750739995138e-12,1.29904095391615e-06,24.0374872943361,0.185401228856925,0.430582429805171,18.1217164442698,0.0537363640334861,0.231811052440314
